Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/15/19,4.5,4.5,4.3,4.5,1876302
11/14/19,4.5,4.5,4.4,4.4,2263493
11/13/19,4.5,4.6,4.4,4.4,902899
11-08-19,4.6,4.6,4.4,4.5,11596275
11-07-19,4.5,4.6,4.4,4.5,7273538
11-06-19,4.6,4.6,4.4,4.5,3559945
11-05-19,4.6,4.6,4.5,4.6,1203216
11-04-19,4.6,4.6,4.4,4.5,5811381
11-01-19,4.7,4.7,4.5,4.5,1295644
10/31/19,4.5,4.8,4.5,4.6,8173692
10/30/19,4.4,4.5,4.4,4.4,229488
10/29/19,4.4,4.5,4.4,4.4,1149467
10/28/19,4.4,4.5,4.3,4.3,1533631
10/25/19,4.3,4.4,4.2,4.3,2105163
10/24/19,4.5,4.5,4.2,4.3,5050704
10/23/19,4.6,4.6,4.4,4.5,2207027
10/22/19,4.6,4.6,4.5,4.5,899146
10/21/19,4.6,4.6,4.5,4.5,155303
10/18/19,4.6,4.7,4.5,4.6,1081645
10/17/19,4.5,4.7,4.5,4.6,3948898
10/16/19,4.7,4.7,4.4,4.5,6926675
10/15/19,4.8,4.8,4.6,4.6,4974163
10/14/19,4.8,4.9,4.6,4.7,5261780
10-11-19,4.6,4.8,4.4,4.7,13847426
10-10-19,4.6,4.7,4.4,4.5,13169297
10-09-19,4.2,4.6,4.1,4.5,12169557
10-08-19,4.1,4.2,4,4.2,1194703
10-07-19,4.2,4.3,4,4,1895927
10-04-19,4.1,4.2,3.9,4.1,1089243
10-03-19,3.9,4.2,3.7,4.1,7217806
10-02-19,4,4.1,3.8,3.9,5490778
10-01-19,4.1,4.2,4,4.1,1035984
9/30/19,4.3,4.3,4,4.1,9840688
9/27/19,4.5,4.5,4.2,4.3,8361641
9/26/19,4.4,4.6,4.3,4.4,7841012
9/25/19,4.2,4.4,4.1,4.3,3447605
9/24/19,4.5,4.6,4.1,4.2,10140599
9/23/19,4.7,4.7,4.4,4.6,7804569
9/20/19,4.8,4.8,4.6,4.7,1929809
9/19/19,4.8,4.9,4.7,4.7,1314963
9/18/19,4.8,4.9,4.7,4.8,1975682
9/17/19,4.9,5,4.8,4.8,1861356
9/16/19,4.8,5,4.7,4.9,5039106
09-12-19,4.8,4.9,4.7,4.8,2596484
09-11-19,5.1,5.1,4.8,4.8,15974560
09-10-19,4.9,5.2,4.9,5.1,29050105
09-09-19,4.8,5,4.7,4.9,17172675
09-06-19,4.7,4.9,4.5,4.7,16411980
09-05-19,4.6,4.8,4.3,4.6,24389196
09-04-19,4.9,5,4.5,4.6,23022075
09-03-19,4.9,5.3,4.6,4.8,61220732
09-02-19,4.1,4.9,4.1,4.7,55069577
8/30/19,3.5,4.1,3.5,4,35924765
8/29/19,3.5,3.6,3.5,3.5,13000188
8/28/19,3.5,3.5,3.3,3.4,2777177
8/27/19,3.3,3.5,3.2,3.4,5265686
8/26/19,3.4,3.5,3.2,3.3,2691139
8/23/19,3.4,3.5,3.4,3.4,13490918
8/22/19,3.3,3.4,3.2,3.4,2191817
8/21/19,3.4,3.4,3.2,3.3,4834444
8/20/19,3.1,3.4,3.1,3.3,15101187
8/19/19,3.1,3.2,3,3.1,3099687
8/16/19,3.3,3.4,3,3.1,21104123
8/15/19,3,3.3,3,3.2,16418424
8/13/19,3.1,3.2,3,3,7569389
08-09-19,3,3.1,2.9,3,3629626
08-08-19,3.1,3.1,2.9,3,6759888
08-07-19,3,3.1,2.9,3.1,21753321
08-06-19,2.8,3,2.7,2.9,12665421
08-05-19,2.8,2.9,2.7,2.8,14932173
08-02-19,2.4,2.8,2.3,2.7,16730069
08-01-19,2.4,2.5,2.3,2.4,1751352
7/31/19,2.4,2.5,2.3,2.4,1748643
7/30/19,2.4,2.5,2.3,2.4,2744802
7/29/19,2.3,2.5,2.3,2.4,3778707
7/26/19,2.3,2.4,2.2,2.3,4935688
7/25/19,2.3,2.4,2.3,2.3,1356731
7/24/19,2.3,2.4,2.2,2.3,2767124
7/23/19,2.4,2.4,2.3,2.3,948257
7/22/19,2.4,2.5,2.2,2.4,8052870
7/19/19,2.5,2.6,2.4,2.4,32057754
7/18/19,2,2.3,2,2.3,15215272
7/17/19,1.8,2,1.7,1.9,4605948
7/15/19,1.7,1.8,1.7,1.7,705678
