Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
12/14/20,1015,1040,1007.5,1010.9,6982
12-11-20,1005,1012,996.1,1001.4,2983
12-10-20,994.8,1012,990,997.1,955
12-09-20,995,1000,980.2,994.8,11635
12-08-20,979.5,999,979,989.8,12289
12-07-20,975.1,982,975.1,979.5,676
12-04-20,970,979.5,969,974.9,1735
12-03-20,979.9,979.9,977.4,977.5,32
12-02-20,962,995,959,977.5,481
12-01-20,952.1,960,950,956.2,22155
11/30/20,955,960,952.1,953.5,421
11/27/20,949.7,949.7,941,945.5,13054
11/26/20,952,952,949,949.7,871
11/25/20,948.1,953,948,950.9,1069
11/24/20,953,953,945.7,950,944
11/23/20,958,958,941.6,942.9,406
11/20/20,950,950,941,941.3,43343
11/19/20,958,958,949.5,949.6,412
11/18/20,960,960,957,960,20681
11/17/20,964,978,958,960,1236
11/16/20,960,983.4,958,960,82704
11/13/20,965,984.9,960,965.3,709
11-12-20,984,985,960,964.4,55948
11-11-20,965,989.9,961,971.1,2955
11-10-20,967,968.9,960.1,965,91
11-09-20,964.5,968.9,960,965,7588
11-06-20,965,965,960,961.5,123
11-05-20,969,969,951,960.5,446
11-04-20,950.2,959,950,950.6,182
11-03-20,960,960,945.5,959.5,1346
11-02-20,960,965,950,956.2,391
10/29/20,940,962,935,955,338
10/28/20,965,969,936,939.9,5438
10/27/20,945,960,945,945.1,217
10/26/20,970,970,940,940.7,901
10/23/20,968,969,945,956.4,309
10/22/20,945,959,943,949.8,26104
10/21/20,946,946,945,945,2475
10/20/20,947,959,945,949.4,158
10/19/20,950,950,944.1,945,2080
10/16/20,950,950,945,945.3,2368
10/15/20,945,958,945,945,673
10/14/20,970,970,941,944.9,717
10/13/20,954.1,954.1,950,948.8,66
10-12-20,966.8,970,954,948.8,67
10-09-20,950,950,945,948.8,269
10-08-20,945,950,945,947.4,758
10-07-20,940,945,925,944.3,61069
10-06-20,940,969,925,952.9,976
10-05-20,945,945,900,933.6,1375
10-02-20,970,970,945,968,194905
9/30/20,970,970,965,966.9,356
9/29/20,968.3,971,965,966.5,725
9/28/20,970,972,960,968.3,819
9/25/20,946,962,946,958.9,233
9/24/20,951.5,960,945.1,959.5,26354
9/23/20,955,955,954,954.9,161
9/22/20,960,960,960,945,70
9/21/20,945,962,944.4,945,115538
9/18/20,946,974,944.7,945,22213
9/17/20,945,950,945,945,25607
9/16/20,945,978,945,945,20308
9/15/20,950,950,945,945.2,19802
9/14/20,950,950,945,945.7,21818
09-11-20,955,955,945,948.2,123744
09-10-20,969.9,969.9,945,950,99064
09-09-20,970,970,960,970,1123
09-08-20,960,960,956,959.2,1461
09-07-20,968.2,968.2,960,960.5,587
09-04-20,975,975,968,968.1,2404
09-03-20,978,978,976.9,977.8,80
09-02-20,975,977.9,969,977.8,721
8/31/20,969,978,969,968.3,11
8/28/20,970,970,968,968.3,1383
8/27/20,970,975,967,970.8,907
8/26/20,961,970,960,969.8,945
8/25/20,979,979,967,971.3,58
8/24/20,975,985,970,971.3,3541
8/21/20,990,990,970,973.8,1522
8/20/20,971.2,980,971.2,980,916
8/19/20,975,975,965,974.7,417
8/18/20,970,978,968,974.4,187
8/17/20,980,980,958,959.8,20862
8/14/20,960,975,957.5,959.6,3329
8/13/20,974,975,958,965.9,3358
08-12-20,975,975,960,960,872
08-11-20,970,980,968,970.9,788
08-10-20,973.9,973.9,953,960.1,893
08-07-20,961,974,950,952.8,1598
08-06-20,968.9,969.9,950,950.3,3731
08-05-20,968.9,968.9,965,951.4,42
08-04-20,952.2,970.9,950,951.4,379
7/31/20,975,975,948.1,950.4,11287
7/30/20,978.9,978.9,950,953.8,122
7/29/20,950,950,950,950,1069
7/28/20,950,978.9,945.3,950.6,444
7/27/20,945,950,945,950,2238
7/24/20,950,950,950,950,260
7/23/20,949.9,950,949.9,950,2021
7/22/20,950,950,940.1,940,12
7/21/20,950,950,940,940,15363
7/20/20,950,950,950,950,1917
7/17/20,949.9,949.9,941,949,104
7/16/20,950,950,940,940.2,11090
7/15/20,950,950,945,949.9,2133
7/14/20,950,950,949.9,950,469
7/13/20,948.1,950,930,937.9,474
07-10-20,951,959.9,949,950,1449
07-09-20,975,975,950,951,22953
07-08-20,961,980,961,974.7,2333
07-07-20,989,989.9,961,961,11805
07-06-20,960,1000,949,999.7,23221
07-03-20,960,960,946,950.2,107
07-02-20,956,956,950,950,9010
07-01-20,959.5,960,956.5,959.2,37495
6/30/20,960,960,950,950.7,1129
6/29/20,970,970,959,961.7,1871
6/26/20,970,970,970,960,57
6/25/20,960.1,970,955,960,1552
6/24/20,990,990,960,970,861
6/23/20,962,980,960,979.7,2269
6/22/20,980,980,969,969.8,308
6/19/20,990,990,970,970,287
6/18/20,960,980,950,950.1,84855
6/17/20,999.9,1000,950,950.5,91901
6/16/20,999.7,999.7,960,965.9,889
6/15/20,970,999.9,970,995.5,117
06-12-20,985,985,980,950.1,78
06-11-20,999.8,999.8,950,950.1,125751
06-10-20,1000,1000,990,1000,25523
06-09-20,958,1000,958,999.8,6394
06-08-20,947,969,947,963.7,319
06-04-20,,,,930,30000
06-03-20,930,940,930,930,21602
06-02-20,925,948.8,925,930,54
06-01-20,940,940,925,930,56069
5/29/20,950,950,922,938.7,25559
5/28/20,950,950,940,949.6,180
5/27/20,940,940,900,911.3,1058
5/26/20,910,920,910,920,1011
5/22/20,951,951,900,905.4,5231
5/21/20,940,990,940,900.4,34
5/20/20,979,979,899.9,900.4,40439
5/19/20,979,979,950,950,1261
5/18/20,900,920,900,920,1185
5/15/20,900,900,880,890.3,76661
5/14/20,900,900,877,880,94908
5/13/20,900,980,880,899.6,104827
05-12-20,925,925,875,899.8,42179
05-11-20,950,950,950,1000,28
3/20/20,1000,1000,990.1,1000,54
3/13/20,1010,1040,1000,1000,1705
03-12-20,1016,1019,1010,1010.8,375
03-11-20,1020,1035,1012.1,1020,399
03-10-20,1045,1045,1020,1020,1276
03-06-20,1055,1099,1040,1048.5,2754
03-05-20,1098,1098,1050,1099.4,82
03-03-20,1015.1,1100,1010.3,1099.4,362
03-02-20,1100,1100,1002,1099,1206
2/28/20,1115.1,1122.8,1110,1110,161296
2/27/20,1130,1139.8,1115,1123,2160
2/26/20,1115,1120,1112,1119.9,66280
2/25/20,1135,1135,1120,1120,778
2/24/20,1140,1140,1139,1140,256
2/20/20,1140.1,1150.3,1140.1,1150.2,443
2/18/20,1125,1140,1115.1,1131.9,757
2/17/20,1120,1140,1100.3,1135.5,12
2/14/20,1149.9,1150,1135,1135.5,1246
2/13/20,1150,1150,1130,1149.9,7087
02-12-20,1149.9,1150,1145,1146.7,19430
02-11-20,1160,1160,1149.9,1150,26167
02-10-20,1150,1150,1113,1149.9,570
02-07-20,1150,1160,1150,1150,2977
02-06-20,1101.1,1151,1101.1,1150,8615
02-05-20,1115,1150,1101,1149.2,14917
02-03-20,1100,1124,1100,1113.6,10245
1/31/20,1100,1100,1100,1100,23719
1/30/20,1100,1100,1100,1099.9,1
1/29/20,1100,1100,1080,1099.9,2003
1/28/20,1122,1145,1080,1080,881
1/27/20,1100.1,1100.1,1099,1100,2188
1/24/20,1110,1149.9,1100,1100,8045
1/23/20,1089.9,1120,1089.9,1100,58428
1/22/20,1089,1089,1060,1060.2,2438
1/21/20,1060.1,1061,1060,1060,611
1/20/20,1060,1089,1060,1060.1,890
1/17/20,1089.9,1089.9,1060,1076.8,1001
1/16/20,1070.2,1090,1070,1070.1,537
1/14/20,1090,1090,1070.2,1079.9,327
1/13/20,1080,1139.9,1080,1100,60586
01-09-20,1090.1,1100,1085,1100,30742
01-08-20,1096,1096,1091,1095,158
01-07-20,1100,1100,1095,1099.8,136
01-06-20,1095,1095,1093,1095,3352
01-03-20,1110,1120,1095,1095,22720
01-02-20,1110,1120,1100,1100,21078
12/31/19,1120,1120,1100,1100.3,1764
12/30/19,1115,1115,1100,1111.4,444
12/27/19,1125,1125,1100,1100,3418
12/26/19,1100,1115,1100,1101.4,176
12/23/19,1100,1120,1100,1103.1,154
12/20/19,1149.9,1149.9,1149.9,1106,1
12/19/19,1105.1,1105.1,1075,1106,39018
12/18/19,1107.9,1107.9,1106,1106,3961
12/17/19,1110,1110,1109.9,1110,222
12/16/19,1117,1118,1110,1110.2,705
12/13/19,1118,1119,1116,1116.9,290
12-12-19,1120,1120,1119,1119.7,1040
12-10-19,1116.1,1119.6,1116.1,1119.6,101
12-09-19,1128.9,1128.9,1120,1121,681
12-06-19,1130,1130,1111,1120,2193
12-05-19,1120,1188.9,1120,1130,46
12-04-19,1130,1130,1129.9,1130,33334
12-03-19,1140,1140,1120,1132.7,3349
12-02-19,1150,1150,1140,1140,1095
11/29/19,1140,1140,1140,1149.9,1
11/28/19,1150,1190,1130.3,1149.9,2835
11/27/19,1120,1130,1120,1130,625
11/26/19,1120,1140,1115,1120,35646
11/25/19,1120,1120,1115,1119.5,1320
11/22/19,1194.9,1194.9,1119.5,1120.1,3132
11/21/19,1130,1150,1120,1149.2,725
11/20/19,1120,1239,1120,1150,19069
11/19/19,1119.1,1120,1112,1119.2,93293
11/18/19,1120,1120,1118.6,1119,4123
11/15/19,1119.4,1119.5,1115,1119,1965
11/14/19,1110,1120,1105,1106.2,1432
11/13/19,1125,1125,1118.9,1120,885
11-08-19,1099,1120,1099,1120,19067
11-07-19,1089.9,1089.9,1080,1080.1,61738
11-06-19,1089.8,1090,1067.1,1070,37051
11-05-19,1098.8,1098.8,1051,1067.8,162
11-04-19,1099.4,1099.4,1099,1098.7,20
11-01-19,1098.9,1098.9,1098.5,1098.7,957
10/31/19,1050,1099.9,1050,1050,60
10/30/19,1050,1074.5,1050,1050,4102
10/29/19,1050,1075,1050,1050,22573
10/28/19,1050,1050,1050,1050,7316
10/25/19,1050,1050,1050,1050,12858
10/24/19,1050,1050,1050,1050,6465
10/23/19,1045.1,1050,1045.1,1050,13647
10/22/19,1060,1088.8,1050,1050.1,12927
10/21/19,1089.9,1089.9,1049.9,1050,104858
10/18/19,1060.1,1060.1,1050,1050,10000
10/17/19,1089.9,1095,1085,1064.9,7
10/16/19,1076,1077,1050,1064.9,1085
10/15/19,1070,1070,1050,1050,15703
10/14/19,1099.9,1105,1050,1050.9,879
10-11-19,1100,1100,1050,1050,18992
10-10-19,1084.1,1085,1084,1050,55
10-09-19,1100,1100,1050,1050,10061
10-08-19,1099.9,1099.9,1099.9,1050,50
10-07-19,1099.9,1100,1099.9,1050,16
10-04-19,1045,1080,1045,1050,18
10-03-19,1095,1095,1050,1050,223229
10-02-19,1075,1140,1050,1074.9,212446
10-01-19,1140,1140,1100,1101.3,2145
9/30/19,1140,1140,1100.1,1109.2,7541
9/27/19,1150,1150,1140,1148.4,63
9/26/19,1150,1150,1150,1148.4,2
9/25/19,1150,1150,1150,1148.4,5
9/23/19,1150,1150,1140,1148.4,239
9/20/19,1150,1150,1150,1150,607
9/19/19,1155,1155,1150,1150,8582
9/18/19,1200,1200,1200,1150,1
9/17/19,1175,1175,1175,1150,9
9/16/19,1150,1150,1130.1,1150,301
09-12-19,1150,1150,1150,1150,7870
09-11-19,1152,1152,1150,1150,8383
09-10-19,1160,1160,1151.6,1150.6,88
09-06-19,1200,1200,1200,1150.6,41
09-05-19,1200,1200.3,1150,1150.6,200310
09-04-19,1249.9,1249.9,1200,1200,29459
09-03-19,1249.9,1249.9,1249.9,1215.1,8
09-02-19,1250,1250,1210,1215.1,23
8/30/19,1245,1245,1200,1215.1,736
8/29/19,1250,1250,1249.9,1249.9,4
8/28/19,1250,1250,1249.9,1249.9,5005
8/27/19,1250,1250,1250,1245.2,7
8/26/19,1245,1250,1245,1245.2,130
8/23/19,1250,1250,1245,1246.2,482
8/22/19,1249.9,1250,1249.9,1250,612
8/21/19,1240.1,1249.9,1240.1,1249.3,104
8/20/19,1300,1300,1249.9,1250,10099
8/19/19,1300,1300,1300,1207,2
8/16/19,1294,1294,1202,1207,975
8/15/19,1306,1306,1300,1300,11710
8/13/19,1300,1300,1300,1300,49
08-09-19,1290,1301.1,1290,1300,1434
08-08-19,1285,1285,1285,1298.8,1
08-07-19,1290,1290,1290,1298.8,5
08-06-19,1282,1290,1282,1298.8,13
08-05-19,1282,1290,1282,1298.8,17
08-02-19,1290.1,1290.1,1290.1,1298.8,36
7/31/19,1290.1,1290.1,1290.1,1298.8,1
7/30/19,1290,1300,1290,1298.8,602
7/29/19,1300,1300,1290,1290,29424
7/26/19,1300,1300,1289.9,1290,6215
7/25/19,1300,1300,1299,1290,13
7/24/19,1300,1300,1290,1290,5408
7/23/19,1300,1300,1200.1,1300,1612
7/22/19,1300,1300,1296,1298.4,155
7/19/19,1300,1300,1300,1300,76
7/18/19,1300,1300,1300,1300,2
7/15/19,1300,1300,1299,1300,555
07-12-19,1300,1300,1300,1300,133
07-11-19,1261,1270,1261,1299.6,2
07-10-19,1290,1290,1290,1299.6,4
07-09-19,1250,1250,1250,1299.6,25
07-08-19,1300,1300,1280,1299.6,2
07-05-19,1299.9,1299.9,1299.9,1299.6,1
07-04-19,1297.8,1300,1297.8,1299.6,605
07-03-19,1280,1280,1250,1275,940
07-02-19,1250.1,1251,1250,1280,10
07-01-19,1260,1260,1250,1280,23
6/26/19,1270,1280,1270,1280,15
6/25/19,1280,1280,1280,1280,205
6/24/19,1280.5,1280.5,1279.9,1279.9,7007
6/21/19,1300,1300,1300,1300,203
6/20/19,1300,1300,1300,1300,302
6/19/19,1300,1300,1300,1300,100
6/18/19,1295,1300,1295,1299.9,101
6/17/19,1298,1300,1295,1295,6158
6/14/19,1300,1300,1299.9,1300,102
6/13/19,1299.9,1299.9,1299.9,1300,30
06-12-19,1300,1300,1295,1300,16
06-11-19,1299.9,1299.9,1299.9,1300,1
06-10-19,1300,1300,1300,1300,100
06-04-19,1300,1300,1300,1300,200
06-03-19,1300,1300,1300,1300,10811
5/31/19,1300,1300,1295,1300,814
5/30/19,1300.1,1300.1,1295.1,1300,1104
5/29/19,1330,1330,1330,1295,2
5/27/19,1295,1295,1280,1295,42
5/23/19,1295,1339.9,1295,1295,1501
5/22/19,1300,1300,1280,1299.1,2620
5/21/19,1300,1340,1300,1301.6,13914
5/17/19,1300,1305,1280.2,1300,197
5/16/19,1340,1340,1340,1340,254
5/15/19,1301,1301,1275,1306.1,87
5/14/19,1349.9,1349.9,1300,1306.1,772
05-09-19,1389.9,1389.9,1389.9,1350,1
05-07-19,1350,1350,1350,1350,100
05-06-19,1300.1,1300.1,1300,1300.1,3
05-03-19,1396,1396,1300,1300.1,3
05-02-19,1340,1399.9,1340,1300.1,11
4/30/19,1299.9,1300.2,1299.9,1300.1,32469
4/26/19,1260.2,1260.3,1260.2,1260.2,210
4/25/19,1300,1300,1300,1250,40
4/24/19,1250.2,1250.2,1250.2,1250,1
4/23/19,1310,1310,1250,1250,1113
4/18/19,1340,1340,1320,1340,59022
4/17/19,1340,1340,1340,1305.5,6
04-10-19,1320,1320,1300,1305.5,200
04-08-19,1360,1360,1360,1310,1
04-05-19,1310,1312,1310,1310,586
04-04-19,1320,1340,1320,1320,2
04-03-19,1340,1340,1320,1320,482
04-02-19,1360,1360,1320,1340,54
04-01-19,1339.9,1340,1339.9,1340,515
3/29/19,1340,1340,1325.6,1339.9,8
3/27/19,1340,1340,1325,1339.9,210
3/26/19,1340,1390,1340,1341.8,5
3/25/19,1350,1350,1340,1341.8,110
3/22/19,1340,1340.1,1340,1340,132421
3/21/19,1369.9,1369.9,1369.9,1345.8,1
3/19/19,1345,1369.8,1345,1345.8,299
3/18/19,1350,1370,1350,1350,1044
3/15/19,1370,1395,1370,1370,33345
03-08-19,1395,1400,1395,1395,101313
03-06-19,1419.6,1405,1400,1419.6,79
03-05-19,1419.6,1420,1400,1419.6,127
03-01-19,1419.1,1419,1400,1419.1,18996
2/28/19,1419.1,1420,1400,1419.1,12873
2/27/19,1400,1400,1400,1400,300
2/26/19,1397.5,1400,1365,1397.5,156
2/25/19,1420,1420,1360,1420,56
2/22/19,1420,1399.5,1399.5,1420,1
2/21/19,1420,1400,1350,1420,104700
2/20/19,1420,1420,1400.1,1420,899
2/18/19,1420,1410,1410,1420,10
2/15/19,1420,1420,1420,1420,619
2/14/19,1400,1420,1400,1400,1382
2/13/19,1400,,,1400,88000
02-12-19,1400,1400,1390,1400,2203
02-08-19,1400,1400,1400,1400,36
02-07-19,1400,1400,1400,1400,200
02-06-19,1400,1400,1400,1400,100
02-05-19,1430,1420,1420,1430,3
02-01-19,1430,1400,1400,1430,168209
1/31/19,1430,1420,1400,1430,82964
1/30/19,1430,1430,1430,1430,72
1/29/19,1430,1430,1429.9,1430,239
1/25/19,1430,1430,1430,1430,179
1/24/19,1420,1420,1420,1420,255
1/22/19,1403.4,1430,1430,1403.4,1
1/21/19,1403.4,1440,1400,1403.4,106
