Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
10-06-20,3.4,3.7,3.2,3.5,493751
10-05-20,3.8,3.8,3.4,3.5,1840016
10-02-20,3.8,4.1,3.8,4,3503466
9/30/20,3.7,3.9,3.6,3.8,1038517
9/29/20,3.6,3.7,3.6,3.7,844210
9/28/20,3.7,3.7,3.6,3.7,372626
9/25/20,3.6,3.7,3.6,3.7,377440
9/24/20,3.6,3.7,3.6,3.6,537321
9/23/20,3.7,3.7,3.5,3.6,386822
9/22/20,3.7,3.7,3.6,3.6,202523
9/21/20,3.7,3.8,3.6,3.7,459570
9/18/20,3.6,3.7,3.5,3.6,895610
9/17/20,3.6,3.6,3.5,3.6,93323
9/16/20,3.6,3.6,3.4,3.4,571819
9/15/20,3.6,3.7,3.5,3.5,209342
9/14/20,3.5,3.6,3.4,3.5,927608
09-11-20,3.4,3.6,3.4,3.5,295453
09-10-20,3.5,3.6,3.4,3.5,639444
09-09-20,3.6,3.6,3.5,3.5,213555
09-08-20,3.6,3.6,3.5,3.5,173453
09-07-20,3.5,3.6,3.5,3.5,25802
09-04-20,3.6,3.6,3.5,3.5,104056
09-03-20,3.5,3.6,3.5,3.6,34605
09-02-20,3.5,3.7,3.5,3.6,334743
8/31/20,3.5,3.6,3.5,3.5,96458
8/28/20,3.6,3.6,3.5,3.6,106071
8/27/20,3.6,3.6,3.5,3.6,262215
8/26/20,3.8,3.8,3.6,3.6,667453
8/25/20,3.7,3.9,3.6,3.8,442754
8/24/20,3.9,4,3.7,3.8,491187
8/21/20,3.9,4,3.8,3.9,692807
8/20/20,4,4,3.8,3.9,3151035
8/19/20,3.8,4.1,3.8,4,12832685
8/18/20,3.4,3.8,3.4,3.7,4091941
8/17/20,3.4,3.4,3.3,3.3,115238
8/14/20,3.4,3.4,3.3,3.4,59967
8/13/20,3.5,3.5,3.4,3.4,149220
08-12-20,3.5,3.6,3.5,3.5,125901
08-11-20,3.5,3.6,3.5,3.5,552376
08-10-20,3.5,3.5,3.4,3.4,163606
08-07-20,3.6,3.6,3.4,3.5,661194
08-06-20,3.6,3.6,3.5,3.5,690330
08-05-20,3.6,3.6,3.5,3.6,554781
08-04-20,3.6,3.7,3.5,3.5,1672723
7/31/20,3.5,3.6,3.5,3.6,603134
7/30/20,3.4,3.6,3.4,3.5,2080675
7/29/20,3.4,3.4,3.3,3.4,34135
7/28/20,3.5,3.5,3.3,3.4,1117071
7/27/20,3.4,3.5,3.4,3.5,835597
7/24/20,3.3,3.4,3.2,3.4,1045913
7/23/20,3.3,3.4,3.2,3.3,317347
7/22/20,3.3,3.4,3.2,3.3,1796893
7/21/20,3.4,3.4,3.2,3.2,827754
7/20/20,3.3,3.5,3.3,3.3,1785439
7/17/20,3.3,3.3,3.2,3.2,38065
7/16/20,3.2,3.3,3.2,3.2,98701
7/15/20,3.2,3.3,3.1,3.2,643867
7/14/20,3.2,3.4,3.1,3.2,1069608
7/13/20,3.2,3.4,2.9,3.1,591211
07-10-20,3.4,3.4,3.3,3.3,610728
07-09-20,3.4,3.5,3.3,3.3,1919567
07-08-20,3.3,3.4,3.3,3.3,973317
07-07-20,3.3,3.4,3.3,3.3,61808
07-06-20,3.3,3.4,3.3,3.3,19526
07-03-20,3.3,3.4,3.3,3.3,530826
07-02-20,3.4,3.4,3.3,3.3,84156
07-01-20,3.5,3.5,3.4,3.4,150537
6/30/20,3.4,3.5,3.4,3.4,77526
6/29/20,3.4,3.5,3.4,3.4,106252
6/26/20,3.5,3.5,3.4,3.4,488929
6/25/20,3.5,3.6,3.4,3.4,245301
6/24/20,3.6,3.7,3.4,3.4,1289775
6/23/20,3.7,3.8,3.5,3.6,834930
6/22/20,3.7,3.7,3.6,3.7,267883
6/19/20,3.6,3.7,3.5,3.6,172936
6/18/20,3.6,3.8,3.6,3.6,705151
6/17/20,3.5,3.7,3.4,3.6,827655
6/16/20,3.5,3.6,3.4,3.4,369756
6/15/20,3.5,3.5,3.4,3.4,120979
06-12-20,3.4,3.5,3.4,3.5,165126
06-11-20,3.5,3.6,3.4,3.5,552202
06-10-20,3.4,3.6,3.1,3.5,510773
06-09-20,3.2,3.4,3.2,3.3,886336
06-08-20,3.1,3.2,3,3.1,64084
06-04-20,3.1,3.1,3,3,36351
06-03-20,3,3.1,2.9,3,46109
06-02-20,2.9,3,2.9,2.9,20059
06-01-20,2.9,3,2.8,2.9,78394
5/29/20,3,3.1,2.9,2.9,124168
5/28/20,3,3,2.9,2.9,126341
5/27/20,3.2,3.2,3,3,40772
5/26/20,3,3,2.9,2.9,133181
5/22/20,3.1,3.1,3,3.1,69061
5/21/20,3.1,3.2,3.1,3.1,85256
